feature,PSI_low_vs_high
cw_monthly_spend_est,0.0
cw_net_cashflow,0.0
cw_months_since_oldest,0.0
cw_thin_file_flag,0.0
cw_holiday_spike_flag,0.0
cw_seasonality_index_12m,0.0
cw_inquiry_hard_intensity,0.0
cw_bankruptcy_flag,0.0
cw_collection_balance,0.0
cw_collection_flag,0.0
cw_worst_delinquency,0.0
cw_delinquency_count,0.0
cw_expense_entropy_30d,0.0
cw_tx_intensity,0.0
cw_overspend_flag,0.0
cw_revolving_balance_to_income,0.0
cw_total_balance_to_income,0.0
cw_utilization,0.0
cw_credit_buffer_ratio,0.0
cw_available_credit,0.0
cw_income_sufficiency_flag,0.0
cw_savings_rate,0.0
cw_spend_to_income,0.0
cw_avg_account_age,0.0
